"Block Size"	"Sync?"	"Num Bytes Read"	"Wall Clock Time"	"User Time"	"Sys Time"
32768	s	67141632	0.697	0.020	0.680
32768	s	67141632	0.686	0.000	0.690
32768	s	67141632	0.674	0.020	0.650
32768	s	67141632	0.688	0.020	0.660
32768	s	67141632	0.677	0.020	0.660
65536	s	67174400	0.422	0.000	0.420
65536	s	67174400	0.424	0.000	0.430
65536	s	67174400	0.424	0.000	0.420
65536	s	67174400	0.420	0.000	0.420
65536	s	67174400	0.424	0.000	0.430
